"","textoComentario","fechaComentario","tituloComentario","puntuacionComentario"
"2","No merece la pena ir. Pagas la pulserita para ir rápido en las atracciones y aún así haces cola. Había mucha gente y venden tanto que no dan servicio de calidad. 
Además de pagar las entradas, los pases para ir rápido en las atracciones también...Más","27 de octubre de 2019","Pésimo en Halloween",1
"3","Fuimos a port aventura en familia el 26 de octubre de 2019.
Cuando llegamos al control de la entrada antes de comprar las entradas, nos revisan las bolsas y llevábamos la comida de los niños en un tupper de CRISTAL. Nos niegan el acceso porque...Más","27 de octubre de 2019","Una vergüenza",1
"4","Después de las colas para entrar a las atracciones de miedo....dentro es otra cola.... Vas en fila y eso no da miedo. Vas viendo cómo asustan al de delante . Deberían dejar espacio entre un grupo y otro. Pero al final vas en fila y...Más","27 de octubre de 2019","Si te gusta el miedo no vengas.",1
"6","Visita al parque de 2 días, en fin de semana, para disfrutar de Halloween. Hemos visitado portaventura en varias ocasiones para Halloween y nos ha encantado, siempre nos hemos ido con ese buen sabor de boca y con deseos de volver, en esta ocasión después...Más","24 de octubre de 2019","Un engaño.  Un robo de guante blanco...!!!!",1
"12","Hace años que no visitábamos el parque pero aprovechando la ambientación especial de Halloween decidimos volver de nuevo. 
Casi no utilizamos ninguna atracción, pero de haberlo querido hacer habríamos necesitado el fast pass, de otro modo las colas son eternas. 
En cambio, los espectáculos son...Más","20 de octubre de 2019","Sorprendente",1
"13","Cuidado con la atracción la Isla mínima, que no os engañen, nosotros estuvimos el sabado 19 de octubre. Té dicen que el horario es de 20:30 a 22:30 que el recorrido es de 1 km y que por si fuera poco puedes adquirir un express...Más","20 de octubre de 2019","Morir de exito en la isla maldita",1
"14","Las entradas son carísimas y más teniendo en cuenta que estás el 80% del tiempo o más haciendo colas para disfrutar atracciones que Duran uno o dos minutos. La comida también muy cara y las tiendas más de lo mismo. Creo que si no fuera...Más","19 de octubre de 2019","Entradas carísimas ",1
"16","Fuimos un grupo de amigos con la oferta de halloween escogiendo de lunes a miércoles para evitar las masas que se forman los fines de semana, como pega decir que en ningún lado habíamos visto que los pasajes de terror y la mayoría de espectáculos...Más","18 de octubre de 2019","Pura adrenalina",1
"22","Hemos venido la familia a pasar unos días, el hotel el paso más que aceptable para ser un 4 estrellas, eso si, el buffet del desayuno buenísimo y la gente muy servicial. Mucho cuidado con la entrada a ferrari porque vinimos 3 días y no...Más","12 de octubre de 2019","Fantástico, y lo de halloween espectacular",1
"23","Hemos estado 3 días, 2 de los cuales había poca gente y pudimos montarnos en todas las atracciones sin hacer muchas colas, sin embargo el tercer día era un festivo, se llenó hasta los topes y solo nos pudimos montar en 2 atracciones. 
La montaña...Más","12 de octubre de 2019","El mejor parque temático de España",1
"24","Hemos pasado un día más o menos agradable, quizás más por el tiempo que ha hecho, ya que no hacía calor y tampoco ha llovido , que por el parque en si.
El precio de la entrada sinceramente muy caro, ya que te tiras un...Más","11 de octubre de 2019","Una decepción....",1
"26","Es una apuesta segura con niños ,, nos alojamos en el gold river y fue todo perfecto ,, 
El parque es muy bonito está todo cuidado al detalle,, el personal tanto del hotel como del parque es muy amable y agradable ,,,volveré siempre que pueda...Más","10 de octubre de 2019","Nunca fallas ",1
"32","Lo hemos pasado en grande, los niños, los adolescentes y los mayores. 
Además compre la pulserita de pase express y fenomenal colas súper rápidas máximo 10 min. Perdí la cuenta de la de veces que repitieron o mejor dicho repetimos todos. Hay restaurantes para todos...Más","6 de octubre de 2019","Muy divertido",1
"33","Fuimos a Port Aventura en octubre. Era Halloween y tienen funciones especiales. Merece la pena, muy entretenido.","6 de octubre de 2019","Divertido",1
"34","Había estado hace 3 años, esta vez nos montamos en sitios diferentes por la estatura de nuestro hijo, disfrutamos.
Lo único la comida de La Cantina, de bastante mala calidad, la podría mejorar. Vamos ahí por el espectáculo y es grande.","6 de octubre de 2019","Atracciones para todas las edades",1
"36","Compramos el Halloween passport que incluyen la entrada a los 4 pasajes de terror del parque.
El primero que hicimos fue el de: 
REC
Creo que de todos es el mejor, increíbles decorados de las cuatro películas. Algunos buenos sustos y los actores de 10....Más","4 de octubre de 2019","Halloween 2019",1
"42","Buen parque para pasar un par de días. El parque ya estaba ambientado con la temática de halloween, muy bonito pero echamos en falta a gente disfrazada por el parque. Fuimos el último fin de semana de septiembre, el viernes genial, no había colas en...Más","30 de septiembre de 2019","Buen fin de semana",1
"43","Nos encanta el parque. Esta muy bien hecho y tiene unas super montañas rusas, y buenos shows. Hemos comprado dos años consecutivos el pase anual. Mi hija ama ir al parque cada fin de semana. Recomendado 100%. Lo único malo es los horarios y el...Más","30 de septiembre de 2019","Excelente parque!",1
"44","Gran complejo tanto de atracciones como de espectáculos.
Donde encuentras varias ambientaciones,preparado tanto para adultos como para niños,
Posibilidad tanto para comer como pernoctar dentro de las instalaciones","29 de septiembre de 2019","Disfrutarás como un niño!!!!",1
"46","Hacía 20 años que no visitaba el parque y ha sido una gran decepción. Restaurantes cerrados, tres pases diferentes de fast past con colas para el resto de hora y media. La decoración de halloween es de risa, por no hablar de las tres atracciones,...Más","29 de septiembre de 2019","Obsoleto",1
"52","fuimos para la noche blanca de julio de 80&90 y me lo pasé muy bien!!! Abrian hasta las 2 de la noche y tenián animación por la calle","26 de septiembre de 2019","noches blancas geniales",1
"53","Lugar perfecto para is con niños, un día muy completo.En verano hace mucha calor pero con los chapoteos de las atracciones se va llebando","26 de septiembre de 2019","Un dia divertido en familia",1
"54","Hay q pagar una llamada al 902... Le pregunte por la compatibilidad del precio del segundo parque con la promocion de dtos por llevar las bolsas de chuches y me dicen q no. Por si no me entendia bien se lo repetí... Igual resultado. Voy...Más","25 de septiembre de 2019","Atención telefónica fatal",1
"56","Una vez más hemos disfrutado en familia del parque. Esta vez ya, los niños son adolescentes y no dicen que no a nada, v así que es una delicia compartir Shambala, de dragónkan, o furious, con tus hijos. 
Esta vez nos hemos alojado en el...Más","24 de septiembre de 2019","Fantástico, como siempre",1
"62","Estuvimos el sabado pasado , nosotros con 3 niñas de 12/12/15 años y mis cuñados con mis sobrinos que tienen 4.
Llegamos a las taquillas y al vendedor tenian que ir sacadole la información, con muy pocas ganas.
Llevamos documentación para sacar las entradas con...Más","19 de septiembre de 2019","Caro y sin sentido",1
"63","Demasiado caro sobre todo si tienes más de un niño, colas interminables en temporada alta en cada atracción por lo que pagas un dineral por montar en pocas cosas. Por otra parte es maravilloso para el disfrute de niños","19 de septiembre de 2019","Caro y a reventar",1
