"","textoComentario","fechaComentario","tituloComentario","puntuacionComentario"
"1","El personal es poco amable, nadie sonríe, parece que están obligados a estar. No fue buena idea, pagar 10€ para ir a la Isla Maldita, colas eternas y de miedo, poco y nada, falta innovar. No lo recomiendo.","27 de octubre de 2019","Mirar un poquito mas como lo hace Disney",3
"11","Fuimos en septiembre y justo pillamos el especial de Halloween. 47 euros cada entrada de adulto, mas 55 de la pulsera para no hacer cola, que nos lo podriamos haber ahorrado porque no habia mucha gente. Ademas habia que pagar unos 5€ por cada pasaje...Más","20 de octubre de 2019","Especial Halloween. Muy caro",3
"21","Vivo cerca del parque, sin duda es de los mejores de España, las atracciones son muy buenas y dan ganas de repetir. Lo peor de este año el Halloween... casi todo lo mismo del año pasado sobretodo los espectaculos, y por una cosa nueva que...Más","13 de octubre de 2019","Halloween 2019",3
"31","Mi opinion personal de un sabado que se preveia de Felicidad, un dia de família que se convirtió en un dia de colas + colas sin freno y si no quieres unas megacolas compra el pase Express y haras algo menos de colas eso si...Más","7 de octubre de 2019","Massificacion extrema ",3
"41","Fuimos con nuestros hijos de 4 y de 1 año, pensando que no tendríamos mucho que hacer con niños tan pequeños y, sorprendentemente, encontramos muchas atracciones donde pudimos disfrutar toda la familia.
La zona de Sésamo Aventura, excelente, pero además, la niña de 4 años,...Más","30 de septiembre de 2019","Muy entretenido, incluso con bebés",3
"51","Habíamos ido muchas veces antes allí, pero nunca en época de Halloween. Es espectacular! La decoración, a base de miles de calabazas color naranja, calaveras y esqueletos, telarañas colgantes y todo tipo de zombis y momias caminantes hacen del viaje una experiencia fuera de serie....Más","26 de septiembre de 2019","Visitarlo en época de Halloween!",3
"61","La ferrari es muy top. Está todo muu bien menos los precios dentro del parque que son realmente ABUSIVOS. 2,20€ un agua pequeña. Una pena k se pasen tanto","20 de septiembre de 2019","Brutal",3
"71","el parque esta bien, han puesto mas cosas que las ultimas veces, pues hace años que no vamos. lo que falla mucho es la comida y los precios de sus tiendas que son realmente execivos. 

aun tienen maquinas como la sega megadrive con su sega...Más","15 de septiembre de 2019","Bien",3
"81","Empezamos con el parking te cobran 14 € por dejarlo y tener que andar un rato.
Muchas atracciones empiezan a las 11 y 11'30 estando el parque abierto desde las 10 horas.
Lo de las pulseras es de vergüenza ,las colas "" normales""  no corren...Más","10 de septiembre de 2019","Vergonzoso",3
"91","Hacia 12 años que hicimos la última visita. El parque es una maravilla está cuidado hasta el último detalle. Los espectáculos están muy bien organizados. Lo que no me parece nada bien es que te cobren 12€ por aparcar el coche cuando ya la entrada...Más","7 de septiembre de 2019","Vuelta 12 años después. ",3
"101","Evidentemente en agosto sabíamos que iba a haber mucha gente y muchas colas, pero lo que nos indignó fue la posibilidad de pagar para saltarte las colas (puedes comprar tiquets Premium y gold para pasar antes a las atracciones), perjudicando a los que están esperando....Más","4 de septiembre de 2019","Podría ser mejor",3
"111","Nunca vi un parque temático que te cobre (12€!!!) por el parking.
Y no hay limite de personas - y está super mal indicado cómo ir a cada zona. Cuanto más tiempo tardes deambulando menos tiempo estás en las colas y menos colas hay.
Los...Más","2 de septiembre de 2019","Te timan desde el parking (12€)",3
"121","Este parque está creado para recaudar dinero desde que entras, en taquilla no te explican que la pulsera para no esperar colas no incluye todas las atracciones te enteras cuando ya estás dentro y no puedes hacer nada, es el primer parque donde veo esto,...Más","30 de agosto de 2019","Precios abusivos vergonzosos",3
"131","Fui con mi hija el día 25 de agosto y no sé si por ser domingo o finales de agosto apenas esperamos comas en las atracciones. Según entramos fuimos directos al dragón khan y esperamos 10 minutos, sin pulsera fastpass, y a partir de ahí...Más","28 de agosto de 2019","Divertido",3
"141","Creo que no hay ningún parque en España que tenga el nivel de este. Es una paliza de día, sin duda. Hay que hacer colas a no ser que saques un pase express. Pero tiene atracciones fabulosas y espectáculos que por sí solos podrían merecer...Más","26 de agosto de 2019","Es el mejor parque que hay",3
"151","Fuimos el día 21/08/2019 al parque de portaventura todos ilusionado para pasar un día inolvidable y el día fue un  infierno, y con la sensación de que me habían robado la cartera, el parque estaba hasta la  bola de gente las atracciones de niño casi...Más","22 de agosto de 2019","Día de infierno en portaventura!!! ",3
"161","Parque muy mal organizado. Distancias excesivas por su diseño circular. Hay que andar demasiado. Algunas atracciones muy antiguas. En muchas atracciones colas sin sombras para los que esperan. Poca variedad de comida dentro del parque y con colas interminables para poder tomar algo. En mi...Más","19 de agosto de 2019","Hay parques mucho mejores",3
"171","Impresionante. Un viaje de en sueño, no puedes dejar de ir a darte un baño al caribe espectacular , sitios con bastante sombra,piscinas. Geniales lo único un poco de paciencia para sus colas de espera.
Y la visita a port aventura un 10","17 de agosto de 2019","Impresionante",3
"181","Muy divertido y familiar . Se necesitan dos dias como mínimo para aprovecharlo bien . Es muy grande y hay que hacer colas un poco largas en algunas atracciones .","14 de agosto de 2019","Diversión ",3
"191","Acudo desde el 1998, pero en los últimos años parece que estén descuidando el mantenimiento o la imagen de cara al cliente. En todas las atracciones acuáticas el agua huele fatal, como si no hubiese sido renovada o filtrada correctamente. Además de tener un color...Más","11 de agosto de 2019","Descuidado",3
"201","Ya por la mañana a la llegada una cola de vehículos interminable casi ora y media de espera pero ya dentro del parque si no te gastas dinero en comprar prioridad en las atracciones tienes que esperar en ellas más de una ora cuando no...Más","10 de agosto de 2019","Mucho tiempo perdido",3
"211","Fantástico Parque temático.
Para grandes y chicos.
Mis hijos han disfrutado muchísimo.
Los mayores también claro. 
Hay algunas atracciones que ponen los pelos de punta. Pero subidón de adrenalina asegurado en Ferrari Land, Shambhala Muy entretenidas las de agua, super el Título Solas.
Eso sí....Más","7 de agosto de 2019","Port Aventura",3
"221","Es un parque de atracciones donde podrías pasar un buen día y disfrutar de todo, pero lamentablemente se han pasado. De primeras haces media hora de cola en coche para pagar 12€ de parking (cuando creo que debería de ser gratis, porque ya bastante te...Más","6 de agosto de 2019","ESTAFA, CARO y PERDIDA de tiempo",3
"231","Es un parque que podes disfrutar con toda la familia en verano abren a las 10 y cierran a las 0:00 hs, si querés podes pagar aparte un pase para pasar más rápido en las filas de las atracciones. Para mi con un día esta...Más","2 de agosto de 2019","Muy lindo",3
"241","Las atracciones son las de siempre, o sea muy bien y las atracciones nuevas son geniales, lo único malo es que según que fechas está muy masificado y las colas se hacen eternas","30 de julio de 2019","Muy bien ",3
"251","Ni lo intentéis, ni vayáis sobretodo en los meses de más calor. No te puedes montar EN NADA! Muy pocos sitios para sentarse y el agua 3,50€ cada botella. 

La Warner le da mil vueltas 😁","27 de julio de 2019","EMBARAZADAS NADA!",3
"261","Una pasada para pasar un día o dos súper entretenidos.
Lo recomiendo al 100%
Volveré siempre que pueda","23 de julio de 2019","Increible",3
"271","Nuestra primera vez en Port Aventura ha sido este mes de julio, vacaciones en familia, 2 dias en el parque, con una niña que mide 1 metro. 
No hemos cogido el express, al ir con una niña, esto limita mucho y queríamos disfrutar en familia....Más","21 de julio de 2019","Con niña de 1 metro",3
