"","textoComentario","fechaComentario","tituloComentario","puntuacionComentario"
"6","El personal muy borde te obligan a comprar la entrada por adelantado, suerte de la gente del hotel que nos informó. La catedral muy bonita pero aún en construcción.","26 de octubre de 2019","Mal servicio",1
"16","Seas o no un fanático de la religión o de la arquitectura este es un paso obligatorio por la ciudad de Barcelona. El edificio es imponente, muy bonito aunque esto es subjetivo. El tour auto guiado es muy completo. Compramos las boletas de entrada con...Más","22 de octubre de 2019","Visita obligada en Barcelona.",1
"26","A pesar de estar sin finalizar, es una de las construcciones que mas me han impresionado, n tanto por sus magnitudes o altura, sino por su diseño, su originalidad en sus soluciones arquitectónicas. Hace pensar que Antoni Gaudí era a la arquitectura lo que Leonardo...Más","20 de octubre de 2019","Majestuosa, única...",1
"36","me conmovió mucho¡¡¡¡¡ no se puede ir a Barcelona y no ver La Sagrada Familia asi como no se puede dejar de conocer las obras e historia de Gaudí.","17 de octubre de 2019","imprescindible",1
"46","Conviene comprar los tickets por internet con antelación y con audioguía. Todo la obra y las explicaciones son espectaculares.","15 de octubre de 2019","Una obra sorprendente",1
"56","Imperdible!!!!!, Monumental, es inolvidable su visita, el recorrido vale cada euro que cuesta la entrada. Hacer reserva previa x internet para no hacer cola, y pagar audio guía","12 de octubre de 2019","Visita a Sagrada Familia",1
"66","Es algo que hay que ver una vez la vida,una construccion que es una obra de arte y derrocha amor por los 4 costados.","10 de octubre de 2019","Una autentica maravilla",1
"76","No se puede ir a Barcelona sin pasar por Sagrada Familia, ¡¡¡una maravilla arquitectónica en todos sus aspectos!!!","9 de octubre de 2019","Fabuloso!!!! Incomparable!!",1
"86","La Sagrada Familia creó que es una maravilla desde todo punto de vista en materia de estilo de construcción en tamaño y estilo.Es hermosa visitarla y cuando uno está dentro encontrarse con la gama de colores,la amplitud.Hermosa","9 de octubre de 2019","Hermosa y cautivante construccion",1
"96","He estado 3 veces en este lugar, y cada vez es diferente. Es muy interesante la progresión de la edificación. Puedes entrar aunque es una larga fila, dentro hay un museo muy interesante. Por fuera, tienes mucho que contemplar, al menos 1 hora. Las fotos...Más","6 de octubre de 2019","En cada visita es diferente",1
"106","Visité Barcelona hace 4 años, y por cierto visite la Iglesia. Es un lugar que no hay que dejar de ver, compré tiket por internet y así evitar la fila para poder adquirir uno. La construcción avanza a buen ritmo.","4 de octubre de 2019","Avanza rapido",1
"116","Definitivamente el lugar a visitar en Barcelona, un sitio precioso independientemente si eres católico o no, ya que es una obra de arte en proceso, un sitio lleno de historia y de una arquitectura espectacular, debes tener tiempo para poder recórrela y siempre estar atento...Más","30 de septiembre de 2019","Basilica Sagrada Familia",1
"126","Maravilloso lugar. Tiene miles de interpretaciones, colores, esculturas . Es una obra genial e increible imposible no ir","28 de septiembre de 2019","Obra monumental",1
"136","Parada obligada, subir a la torre súper recomendado, mejor vista y otra experiencia además del museo..","25 de septiembre de 2019","Hermosa experiencia..",1
"146","Visita obligada si vas a Barcelona por primera vez. Si bien es cierto que Gaudí dejó muchos diseños del templo, lo que vemos solo puede ser algo inspirado en lo que el querría que fuese el templo expiatorio de la sagrada familia. No es poca...Más","23 de septiembre de 2019","Espectacular ",1
"156","Imperdible de Barcelona y recomiendo subir a la torre para apreciar la vista a la ciudad desde la altura .","21 de septiembre de 2019","De alto impacto!!",1
"166","Visita IMPRESCINDIBLE. Ojo.... reservar con tiempo o corréis el riesgo de quedaros fuera. No se entiende La Barcelona actual sin ver la obra de Gaudí. Las dos visitas que todo el mundo debería hacer son Sagrada Familia y Parque Güell","19 de septiembre de 2019","Imprescindible ",1
"176","Es una belleza de monumento. Tenía muchas ganas de visitarlo. Hay que ir a una hora prudente y com las entradas compradas con antelación.","17 de septiembre de 2019","Gran monumento ",1
"186","Es muy imponente la basílica ,si vas a Barcelona no puedes dejar pasar esta oportunidad y con audio guía mejor aún, para poder entender la bella historia de este lugar","14 de septiembre de 2019","Impresionante",1
"196","El lugar por dentro y por fuera es sorprendente, la audio guía que te va explicando los lugares y las inspiraciones está muy bien realizada, te ayuda a que el lugar que de por si es mágico sea aún más admirable, súper vale la pena...Más","11 de septiembre de 2019","Un lugar sorprendente",1
"206","Es un lugar que no puede dejar de visitarse, aconsejo comprar el ticket por internet completo. Fue emocionante y grandiosa.","10 de septiembre de 2019","Visita emocionante",1
