"","textoComentario","fechaComentario","tituloComentario","puntuacionComentario"
"2","Impresionante e imperdible atraccion emblematica de Barcelona. No espere visitarla al estar terminada ya que por diversos intereses oscuros eso no
Ocurrira en decadas , tal
Vez nunca,,, vaya ya!","27 de octubre de 2019","Majestuosa",5
"3","Visita 100% recomendable. Hay que ver esta pieza arquitectónica sin duda. Es algo difícil de describir con palabras. Es un lugar maravilloso.","27 de octubre de 2019","Impresionante",5
"4","Espectacular... es la obra que nunca termina y nunca terminará,su historia es impresionante y digna de admirar.","26 de octubre de 2019","😍",5
"5","Un respiro de emociones y paz indescriptible...
Si vienes a Barcelona, no pierdas la oportunidad de verla...vale cada € que inviertas!","26 de octubre de 2019","Inmensidad!",5
"8","Lugar obligado para conocer en Barcelona, es impresionante la Basílica de la Sagrada Familia, lugar muy concurrido.","24 de octubre de 2019","Turismo ",5
"9","Gran icono de barcelona. En temporada de vacaciones hay mucho turista y aparte de que pagas para entrar, pero si quieres entrar gratis son los domingo por la mañana en misa. En general para pasar el rato hay varios restaurantes alrededor.","24 de octubre de 2019","Monumento estupendo!",5
"10","Si a uno le gusta la arquitectura en una ciudad no deje de visitar la Sagrada Familia, la considero espectacular, obra de una mente genial, diferente. Nada de lo que verá lo encontrará como en otras iglesias. Recomiendo sacar entradas con antelación y evitar de...Más","24 de octubre de 2019","Maravillosa",5
"12","Si vas a Barcelona no dejes de visitarla. Recomiendo sacar las entradas anticipadamente por la web para poder asegurarte dia y horario. Y ademas que no sea muy tarde el horario porque cuando empieza a oscurecer no se puede apreciar tanto.","23 de octubre de 2019","IMPERDIBLE",5
"13","La Sagrada Familia es la obra culmine de Gaudí, y sin visitarla y entenderla, estaría incompleta la visita a Barcelona ya que en gran parte esta fue diseñada por el mismo. Con audio guía la visita es muy completa, ya que explica tanto las fachadas...Más","23 de octubre de 2019","Imperdible",5
"14","El solo hecho de verla desde afuera y detallar toda su fachada es algo espectacular. Estaba acostumbrado a ver catedrales con estilo neoclásico pero esto es de otro orden en el estilo modernista catalán. Todavía está en construcción y es la segunda, mas visitada después...Más","23 de octubre de 2019","Una espectacular obra de arte !!!",5
"15","El mejor reclamo de Barcelona. Una joya arquitectónica única. Se aconseja ir en metro, ya que aparcar en la zona es imposible. Es caro entrar, la verdad.","22 de octubre de 2019","Preciosa",5
"18","Realmente vale cada peso pagado, impacta, es enorme, majestuosa, hay control de seguridad para entrar pero es ágil, recomiendo comprar las entradas por internet para evitar colas y además ir en la tarde después de las 16 hs para poder apreciar la iluminación natural cuando...Más","22 de octubre de 2019","HERMOSA",5
"19","Ciudad fuera de control. Peligrosa, sucia y tomada por el nazionalismo. Evitar. Los manifestantes lanzan piedras a todo el mundo y no hacen distinciones. Les da igual policias, que niños o turistas. Un infierno.","22 de octubre de 2019","Ciudad peligrosa",5
